[29-Dec-2010 11:11:03] PHP Catchable fatal error:  Argument 2 passed to Zend_Controller_Router_Rewrite::addRoute() must implement interface Zend_Controller_Router_Route_Interface, instance of MF_Controller_Router_Route_Regex given, called in /home/siavorskyi/eclipse-workspace/zend-exp/application/Bootstrap.php on line 28 and defined in /usr/share/php/Zend/Controller/Router/Rewrite.php on line 113
[29-Dec-2010 11:11:06] PHP Catchable fatal error:  Argument 2 passed to Zend_Controller_Router_Rewrite::addRoute() must implement interface Zend_Controller_Router_Route_Interface, instance of MF_Controller_Router_Route_Regex given, called in /home/siavorskyi/eclipse-workspace/zend-exp/application/Bootstrap.php on line 28 and defined in /usr/share/php/Zend/Controller/Router/Rewrite.php on line 113
[29-Dec-2010 11:11:40] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:40] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:40] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:40] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:40] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:40] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:40] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:40] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:56] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:56] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:56] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:56] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:56] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:56] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:56] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:11:56] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:31] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:31] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:31] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:31] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:31] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:31] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:31] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:31] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:44] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:44] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:44] PHP Notice:  Undefined property: MF_Controller_Router_Route_Regex::$formats in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:12:44] PHP Warning:  join(): Invalid arguments passed in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 13
[29-Dec-2010 11:19:43] PHP Fatal error:  Unsupported operand types in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 21
[29-Dec-2010 11:19:44] PHP Fatal error:  Unsupported operand types in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 21
[29-Dec-2010 11:19:47] PHP Fatal error:  Unsupported operand types in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 21
[29-Dec-2010 11:20:41] PHP Warning:  get_class() expects parameter 1 to be object, boolean given in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 21
[29-Dec-2010 11:20:41] PHP Warning:  get_class() expects parameter 1 to be object, array given in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 21
[29-Dec-2010 11:20:41] PHP Warning:  get_class() expects parameter 1 to be object, boolean given in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 21
[29-Dec-2010 11:20:41] PHP Warning:  get_class() expects parameter 1 to be object, boolean given in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Router/Route/Regex.php on line 21
[29-Dec-2010 12:05:32] PHP Notice:  Undefined property: FolderController::$_flashMessenger in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 37
[29-Dec-2010 12:05:32] PHP Fatal error:  Call to a member function getMessages() on a non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 37
[29-Dec-2010 12:05:36] PHP Notice:  Undefined property: FolderController::$_flashMessenger in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 37
[29-Dec-2010 12:05:36] PHP Fatal error:  Call to a member function getMessages() on a non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 37
[29-Dec-2010 12:43:00] PHP Catchable fatal error:  Argument 1 passed to Zend_Controller_Action_Helper_Redirector::gotoRoute() must be an array, string given, called in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/SecureAction.php on line 8 and defined in /usr/share/php/Zend/Controller/Action/Helper/Redirector.php on line 418
[29-Dec-2010 14:50:51] PHP Fatal error:  Uncaught exception 'Zend_Controller_Response_Exception' with message 'Cannot send headers; headers already sent in /usr/share/php/Zend/Debug.php, line 103' in /usr/share/php/Zend/Controller/Response/Abstract.php:321
Stack trace:
#0 /usr/share/php/Zend/Controller/Response/Abstract.php(339): Zend_Controller_Response_Abstract->canSendHeaders(true)
#1 /usr/share/php/Zend/Controller/Response/Abstract.php(766): Zend_Controller_Response_Abstract->sendHeaders()
#2 /usr/share/php/Zend/Controller/Front.php(992): Zend_Controller_Response_Abstract->sendResponse()
#3 /usr/share/php/Zend/Application/Bootstrap/Bootstrap.php(97): Zend_Controller_Front->dispatch()
#4 /usr/share/php/Zend/Application.php(366): Zend_Application_Bootstrap_Bootstrap->run()
#5 /home/siavorskyi/eclipse-workspace/zend-exp/public/index.php(30): Zend_Application->run()
#6 {main}
  thrown in /usr/share/php/Zend/Controller/Response/Abstract.php on line 321
[29-Dec-2010 14:57:25] PHP Notice:  Undefined index: frontController in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 17
[29-Dec-2010 14:57:25] PHP Fatal error:  Call to a member function getOption() on a non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 17
[29-Dec-2010 14:57:54] PHP Notice:  Undefined index: frontController in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 18
[29-Dec-2010 14:57:54] PHP Fatal error:  Call to a member function getOption() on a non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 18
[29-Dec-2010 14:58:14] PHP Warning:  include_once(Smarty.class.php): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 14:58:14] PHP Warning:  include_once(): Failed opening 'Smarty.class.php' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 14:58:14] PHP Warning:  include_once(Smarty.php): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 14:58:14] PHP Warning:  include_once(): Failed opening 'Smarty.php' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 14:58:14] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 11
[29-Dec-2010 15:04:01] PHP Warning:  include_once(Smarty.class.php): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:04:01] PHP Warning:  include_once(): Failed opening 'Smarty.class.php' for inclusion (include_path='Smarty:/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:04:01] PHP Warning:  include_once(Smarty.php): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:04:01] PHP Warning:  include_once(): Failed opening 'Smarty.php' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:04:01] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 11
[29-Dec-2010 15:07:08] PHP Warning:  include_once(Smarty.class.php): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:07:08] PHP Warning:  include_once(): Failed opening 'Smarty.class.php' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:07:08] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:07:47] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:07:47] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:07:47] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:10:19] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:10:19] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:10:19] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:10:29] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:10:29] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:10:29] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:10:50] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:10:50] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:10:50] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:10:58] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:10:58] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:10:58] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:11:37] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:37] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:37] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:11:38] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:38] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:38] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:11:46] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:46] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:46] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:11:46] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:46] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:46] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:11:46] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:46] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:46] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:11:47] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:47] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:47] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:11:47] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:47] PHP Warning:  include_once(): Failed opening '' for inclusion (include_path='/home/siavorskyi/eclipse-workspace/zend-exp/application/../library:/home/siavorskyi/eclipse-workspace/zend-exp/library:.:/usr/share/pear:/usr/share/php') in /usr/share/php/Zend/Loader.php on line 146
[29-Dec-2010 15:11:47] PHP Fatal error:  Class 'Smarty' not found in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/View/Smarty.php on line 12
[29-Dec-2010 15:11:58] PHP Warning:  include_once(/home/siavorskyi/eclipse-workspace/zend-exp/library): failed to open stream: No such file or directory in /usr/share/php/Zend/Loader.php on line 146
